adsh,cik,countryinc,filed,form,fy,name,period,Assets,EarningsPerShareBasic,Liabilities,NetIncomeLoss,StockholdersEquity,WeightedAverageNumberOfSharesOutstandingBasic,ticker,sector,stock_price,next_period,next_period_price
0001047469-09-009429,1324404,US,2009-11-02,10-Q,2009.0,"CF INDUSTRIES HOLDINGS, INC.",2009-09-30,2357100000.0,0.79,,38500000.0,1658900000.0,48500000.0,CF,BASIC INDUSTRIES,17.246,2009-12-31,18.156
0001047469-09-009674,827052,US,2009-11-06,10-Q,2009.0,EDISON INTERNATIONAL,2009-09-30,42772000000.0,1.23,31767000000.0,403000000.0,,326000000.0,EIX,PUBLIC UTILITIES,33.58,2009-12-31,34.78
0001104659-09-062019,765880,US,2009-11-03,10-Q,2009.0,"HCP, INC.",2009-09-30,12338210000.0,-0.18,6288733000.0,,5869804000.0,284812000.0,HCP,CONSUMER SERVICES,26.175,2009-12-31,27.814
0001104659-09-062141,1168054,US,2009-11-03,10-Q,2009.0,CIMAREX ENERGY CO,2009-09-30,3396162000.0,,,,,,XEC,ENERGY,43.32,2009-12-31,52.97
0001104659-09-062402,1126328,US,2009-11-04,10-Q,2009.0,PRINCIPAL FINANCIAL GROUP INC,2009-09-30,137379500000.0,0.58,129772800000.0,192900000.0,7508700000.0,,PFG,FINANCE,27.39,2009-12-31,24.04
0001104659-09-063192,1800,US,2009-11-06,10-Q,2009.0,ABBOTT LABORATORIES,2009-09-30,49846820000.0,0.95,,,21335055000.0,1546291000.0,ABT,HEALTH CARE,23.736,2009-12-31,25.904
0001140361-09-024015,1357615,US,2009-10-29,10-Q,2009.0,"KBR, INC.",2009-09-30,5578000000.0,0.46,3303000000.0,,2259000000.0,160000000.0,KBR,BASIC INDUSTRIES,23.29,2009-12-31,19.0
0001157523-09-007722,1043219,US,2009-11-05,10-Q,2009.0,ANNALY CAPITAL MANAGEMENT INC,2009-09-30,70162678000.0,0.51,60792420000.0,285189000.0,9307144000.0,547611480.0,NLY,CONSUMER SERVICES,18.14,2009-12-31,17.35
0001193125-09-214821,896262,US,2009-10-27,10-Q,2009.0,AMEDISYS INC,2009-09-30,1130940000.0,1.31,444792000.0,35940000.0,685135000.0,27340000.0,AMED,HEALTH CARE,43.63,2009-12-31,48.6
0001193125-09-220398,1276520,US,2009-11-02,10-Q,2009.0,GENWORTH FINANCIAL INC,2009-09-30,108832000000.0,0.04,95387000000.0,19000000.0,12417000000.0,448900000.0,GNW,FINANCE,11.95,2009-12-31,11.35
0001193125-09-221448,1339947,US,2009-11-03,10-Q,2009.0,VIACOM INC.,2009-09-30,21307000000.0,0.76,,463000000.0,8029000000.0,607300000.0,VIA,CONSUMER SERVICES,29.45,2009-12-31,31.5
0001193125-09-223170,5513,US,2009-11-04,10-Q,2009.0,UNUM GROUP,2009-09-30,54475200000.0,0.67,46232200000.0,221100000.0,8243000000.0,,UNM,FINANCE,21.44,2009-12-31,19.52
0001193125-09-224917,906107,US,2009-11-05,10-Q,2009.0,EQUITY RESIDENTIAL,2009-09-30,15791396000.0,0.48,10464788000.0,135981000.0,4959651000.0,273658000.0,EQR,CONSUMER SERVICES,30.7,2009-12-31,33.78
0001193125-09-225519,62709,US,2009-11-05,10-Q,2009.0,"MARSH & MCLENNAN COMPANIES, INC.",2009-09-30,15341000000.0,0.41,,221000000.0,,524000000.0,MMC,FINANCE,24.73,2009-12-31,22.08
0001193125-09-227674,1156375,US,2009-11-06,10-Q,2009.0,CME GROUP INC.,2009-09-30,36519600000.0,3.05,17389300000.0,202300000.0,19130300000.0,66384000.0,CME,FINANCE,61.638,2009-12-31,67.192
0001193125-09-227731,35527,US,2009-11-06,10-Q,2009.0,FIFTH THIRD BANCORP,2009-09-30,110740000000.0,-0.2,97052000000.0,-97000000.0,13688000000.0,,FITB,FINANCE,10.13,2009-12-31,9.75
0001193125-09-229024,1378946,US,2009-11-09,10-Q,2009.0,"PEOPLE'S UNITED FINANCIAL, INC.",2009-09-30,20810100000.0,0.08,15694900000.0,26800000.0,5115200000.0,,PBCT,FINANCE,15.56,2009-12-31,16.7
0001193125-09-230789,712515,US,2009-11-10,10-Q,2009.0,ELECTRONIC ARTS INC.,2009-09-30,5002000000.0,,2346000000.0,-391000000.0,2656000000.0,,EA,TECHNOLOGY,19.05,2009-12-31,17.75
0001193125-09-239249,1403161,US,2009-11-20,10-K,2009.0,VISA INC.,2009-09-30,32281000000.0,,9088000000.0,,23189000000.0,,V,MISCELLANEOUS,17.278,2009-12-31,21.865
0001274494-09-000032,1274494,US,2009-10-30,10-Q,2009.0,"FIRST SOLAR, INC.",2009-09-30,3095072000.0,1.82,635898000.0,153344000.0,2459174000.0,84179000.0,FSLR,TECHNOLOGY,152.86,2009-12-31,135.4
0001393311-09-000035,1393311,US,2009-11-09,10-Q,2009.0,PUBLIC STORAGE,2009-09-30,9809375000.0,1.03,758123000.0,237309000.0,8904106000.0,168373000.0,PSA,CONSUMER SERVICES,75.24,2009-12-31,81.45
0001437749-09-001934,353944,US,2009-12-02,10-K,2009.0,INTERNATIONAL GAME TECHNOLOGY,2009-09-30,4388200000.0,,3420900000.0,,,,IGT,CONSUMER SERVICES,21.48,2009-12-31,18.77
0000732717-10-000013,732717,US,2010-02-25,10-K,2009.0,AT&T INC.,2009-12-31,268752000000.0,,,,,,T,PUBLIC UTILITIES,28.03,2010-03-31,25.84
0000899689-10-000004,899689,US,2010-02-23,10-K,2009.0,VORNADO REALTY TRUST,2009-12-31,20185472000.0,,12284438000.0,,6242769000.0,,VNO,CONSUMER SERVICES,51.169,2010-03-31,55.383
0000950123-10-011711,54480,US,2010-02-12,10-K,2009.0,KANSAS CITY SOUTHERN,2009-12-31,5479100000.0,,3137500000.0,,2058800000.0,,KSU,TRANSPORTATION,33.29,2010-03-31,36.17
0000950123-10-015824,1013871,US,2010-02-23,10-K,2009.0,"NRG ENERGY, INC.",2009-12-31,23378000000.0,,15434000000.0,,,,NRG,PUBLIC UTILITIES,23.61,2010-03-31,20.9
0000950123-10-016029,19617,US,2010-02-24,10-K,2009.0,J P MORGAN CHASE & CO,2009-12-31,2031989000000.0,,1866624000000.0,,165365000000.0,,JPM,FINANCE,41.67,2010-03-31,44.75
0000950123-10-017187,1163165,US,2010-02-25,10-K,2009.0,CONOCOPHILLIPS,2009-12-31,152588000000.0,,89531000000.0,,62467000000.0,,COP,ENERGY,38.932,2010-03-31,39.008
0000950123-10-019392,200406,US,2010-03-01,10-K,2009.0,JOHNSON & JOHNSON,2009-12-31,94682000000.0,,44094000000.0,,,,JNJ,HEALTH CARE,64.41,2010-03-31,65.2
0001014739-10-000004,1014739,US,2010-03-02,10-K,2009.0,"BIOSCRIP, INC.",2009-12-31,287220000.0,,131427000.0,,155793000.0,,BIOS,HEALTH CARE,8.36,2010-03-31,7.99
0001047469-10-000766,765880,US,2010-02-12,10-K,2009.0,"HCP, INC.",2009-12-31,12209735000.0,,6251126000.0,,5780537000.0,,HCP,CONSUMER SERVICES,27.814,2010-03-31,30.055
0001047469-10-000948,1126328,US,2010-02-17,10-K,2009.0,PRINCIPAL FINANCIAL GROUP INC,2009-12-31,137759400000.0,,129743000000.0,,7893500000.0,,PFG,FINANCE,24.04,2010-03-31,29.21
0001047469-10-001018,1800,US,2010-02-19,10-K,2009.0,ABBOTT LABORATORIES,2009-12-31,52416623000.0,,,,22855627000.0,,ABT,HEALTH CARE,25.904,2010-03-31,25.276
0001047469-10-001364,1324404,US,2010-02-25,10-K,2009.0,"CF INDUSTRIES HOLDINGS, INC.",2009-12-31,2494900000.0,,,,1728900000.0,,CF,BASIC INDUSTRIES,18.156,2010-03-31,18.236
0001047469-10-001512,1168054,US,2010-02-26,10-K,2009.0,CIMAREX ENERGY CO,2009-12-31,3444537000.0,,1406431000.0,,,,XEC,ENERGY,52.97,2010-03-31,59.38
0001047469-10-001604,827052,US,2010-03-01,10-K,2009.0,EDISON INTERNATIONAL,2009-12-31,41444000000.0,,30438000000.0,,,,EIX,PUBLIC UTILITIES,34.78,2010-03-31,34.17
0001140361-10-008295,1357615,US,2010-02-25,10-K,2009.0,"KBR, INC.",2009-12-31,5327000000.0,,3031000000.0,,2288000000.0,,KBR,BASIC INDUSTRIES,19.0,2010-03-31,22.16
0001157523-10-001176,1043219,US,2010-02-24,10-K,2009.0,ANNALY CAPITAL MANAGEMENT INC,2009-12-31,69376190000.0,,59758650000.0,,9554426000.0,,NLY,CONSUMER SERVICES,17.35,2010-03-31,17.18
0001193125-10-020834,1403161,US,2010-02-03,10-Q,2010.0,VISA INC.,2009-12-31,31715000000.0,,8238000000.0,763000000.0,23472000000.0,,V,MISCELLANEOUS,21.865,2010-03-31,22.757
0001193125-10-025856,712515,US,2010-02-09,10-Q,2009.0,ELECTRONIC ARTS INC.,2009-12-31,4939000000.0,,2340000000.0,-82000000.0,2599000000.0,,EA,TECHNOLOGY,17.75,2010-03-31,18.66
0001193125-10-028165,1339947,US,2010-02-11,10-K,2009.0,VIACOM INC.,2009-12-31,21900000000.0,,,,8704000000.0,,VIA,CONSUMER SERVICES,31.5,2010-03-31,36.68
0001193125-10-037640,896262,US,2010-02-23,10-K,2009.0,AMEDISYS INC,2009-12-31,1172351000.0,,436016000.0,,735166000.0,,AMED,HEALTH CARE,48.6,2010-03-31,55.22
0001193125-10-040142,906107,US,2010-02-25,10-K,2009.0,EQUITY RESIDENTIAL,2009-12-31,15417515000.0,,9984722000.0,,5047339000.0,,EQR,CONSUMER SERVICES,33.78,2010-03-31,39.15
0001193125-10-041949,1276520,US,2010-02-26,10-K,2009.0,GENWORTH FINANCIAL INC,2009-12-31,108187000000.0,,94837000000.0,,12276000000.0,,GNW,FINANCE,11.35,2010-03-31,18.34
0001193125-10-042347,35527,US,2010-02-26,10-K,2009.0,FIFTH THIRD BANCORP,2009-12-31,113380000000.0,,99883000000.0,,13497000000.0,,FITB,FINANCE,9.75,2010-03-31,13.56
0001193125-10-042716,5513,US,2010-02-26,10-K,2009.0,UNUM GROUP,2009-12-31,54477000000.0,,45976900000.0,,8500100000.0,,UNM,FINANCE,19.52,2010-03-31,24.77
0001193125-10-042765,62709,US,2010-02-26,10-K,2009.0,"MARSH & MCLENNAN COMPANIES, INC.",2009-12-31,15337000000.0,,,,,,MMC,FINANCE,22.08,2010-03-31,24.42
0001193125-10-043180,1156375,US,2010-02-26,10-K,2009.0,CME GROUP INC.,2009-12-31,35651000000.0,,16350000000.0,,19301000000.0,,CME,FINANCE,67.192,2010-03-31,63.222
0001193125-10-044002,1070750,US,2010-03-01,10-K,2009.0,"HOST HOTELS & RESORTS, INC.",2009-12-31,12555000000.0,,6205000000.0,,6189000000.0,,HST,CONSUMER SERVICES,11.67,2010-03-31,14.65
0001193125-10-044584,1378946,US,2010-03-01,10-K,2009.0,"PEOPLE'S UNITED FINANCIAL, INC.",2009-12-31,21257200000.0,,16156500000.0,,5100700000.0,,PBCT,FINANCE,16.7,2010-03-31,15.62
0001274494-10-000007,1274494,US,2010-02-22,10-K,2009.0,"FIRST SOLAR, INC.",2009-12-31,3349512000.0,,696725000.0,,2652787000.0,,FSLR,TECHNOLOGY,135.4,2010-03-31,122.65
0001393311-10-000004,1393311,US,2010-03-01,10-K,2009.0,PUBLIC STORAGE,2009-12-31,9805645000.0,,731142000.0,,8928407000.0,,PSA,CONSUMER SERVICES,81.45,2010-03-31,91.99
0001437749-10-000316,353944,US,2010-02-11,10-Q,2010.0,INTERNATIONAL GAME TECHNOLOGY,2009-12-31,4273800000.0,0.25,3138400000.0,,1135600000.0,295100000.0,IGT,CONSUMER SERVICES,18.77,2010-03-31,18.45
0000732717-10-000033,732717,US,2010-05-06,10-Q,2010.0,AT&T INC.,2010-03-31,265701000000.0,0.42,,2475000000.0,,,T,PUBLIC UTILITIES,25.84,2010-06-30,24.19
0000899689-10-000020,899689,US,2010-05-04,10-Q,2010.0,VORNADO REALTY TRUST,2010-03-31,20419693000.0,1.1,12455566000.0,214552000.0,6217588000.0,181542000.0,VNO,CONSUMER SERVICES,55.383,2010-06-30,53.371
0000950123-10-038647,54480,US,2010-04-27,10-Q,2010.0,KANSAS CITY SOUTHERN,2010-03-31,5549100000.0,0.34,3185400000.0,35300000.0,2082000000.0,95890000.0,KSU,TRANSPORTATION,36.17,2010-06-30,36.35
0000950123-10-043643,1163165,US,2010-05-04,10-Q,2010.0,CONOCOPHILLIPS,2010-03-31,154810000000.0,1.41,91393000000.0,2098000000.0,62837000000.0,1492861000.0,COP,ENERGY,39.008,2010-06-30,37.422
0000950123-10-046942,1013871,US,2010-05-10,10-Q,2010.0,"NRG ENERGY, INC.",2010-03-31,24578000000.0,0.22,16310000000.0,58000000.0,,254000000.0,NRG,PUBLIC UTILITIES,20.9,2010-06-30,21.21
0000950123-10-047138,19617,US,2010-05-10,10-Q,2010.0,J P MORGAN CHASE & CO,2010-03-31,2135796000000.0,0.75,1971075000000.0,3326000000.0,164721000000.0,3970500000.0,JPM,FINANCE,44.75,2010-06-30,36.61
0000950123-10-047299,200406,US,2010-05-10,10-Q,2010.0,JOHNSON & JOHNSON,2010-03-31,93441000000.0,1.64,40527000000.0,,,2755400000.0,JNJ,HEALTH CARE,65.2,2010-06-30,59.06
0000950130-10-001579,712515,US,2010-05-28,10-K,2009.0,ELECTRONIC ARTS INC.,2010-03-31,4646000000.0,,1917000000.0,,2729000000.0,,EA,TECHNOLOGY,18.66,2010-06-30,14.4
0001014739-10-000011,1014739,US,2010-05-05,10-Q,2010.0,"BIOSCRIP, INC.",2010-03-31,714563000.0,-0.18,458275000.0,-7169000.0,256288000.0,40825.0,BIOS,HEALTH CARE,7.99,2010-06-30,5.24
0001047469-10-004925,827052,US,2010-05-07,10-Q,2010.0,EDISON INTERNATIONAL,2010-03-31,42357000000.0,0.72,31374000000.0,236000000.0,,326000000.0,EIX,PUBLIC UTILITIES,34.17,2010-06-30,31.72
0001047469-10-004975,1324404,US,2010-05-07,10-Q,2010.0,"CF INDUSTRIES HOLDINGS, INC.",2010-03-31,2633100000.0,-0.09,,-4400000.0,1711200000.0,48600000.0,CF,BASIC INDUSTRIES,18.236,2010-06-30,12.69
0001104659-10-021966,765880,US,2010-04-27,10-Q,2010.0,"HCP, INC.",2010-03-31,12139570000.0,0.26,6231399000.0,81036000.0,5724554000.0,293223000.0,HCP,CONSUMER SERVICES,30.055,2010-06-30,29.372
0001104659-10-025536,1126328,US,2010-05-05,10-Q,2010.0,PRINCIPAL FINANCIAL GROUP INC,2010-03-31,140836700000.0,0.6,132148500000.0,199000000.0,8555600000.0,,PFG,FINANCE,29.21,2010-06-30,23.44
0001104659-10-026823,1168054,US,2010-05-07,10-Q,2010.0,CIMAREX ENERGY CO,2010-03-31,3708120000.0,,,,,,XEC,ENERGY,59.38,2010-06-30,71.58
0001104659-10-033097,1800,US,2010-05-04,10-Q,2010.0,ABBOTT LABORATORIES,2010-03-31,53358622000.0,0.65,,,20860099000.0,1547815000.0,ABT,HEALTH CARE,25.276,2010-06-30,22.445
0001140361-10-017892,1357615,US,2010-04-29,10-Q,2010.0,"KBR, INC.",2010-03-31,5589000000.0,,3235000000.0,,2347000000.0,160000000.0,KBR,BASIC INDUSTRIES,22.16,2010-06-30,20.34
0001157523-10-002896,1043219,US,2010-05-06,10-Q,2010.0,ANNALY CAPITAL MANAGEMENT INC,2010-03-31,72719162000.0,0.5,63074678000.0,281065000.0,9581386000.0,554995092.0,NLY,CONSUMER SERVICES,17.18,2010-06-30,17.15
0001193125-10-094994,896262,US,2010-04-27,10-Q,2010.0,AMEDISYS INC,2010-03-31,1222445000.0,1.32,438030000.0,36646000.0,783062000.0,27821000.0,AMED,HEALTH CARE,55.22,2010-06-30,43.98
0001193125-10-098207,1339947,US,2010-04-29,10-Q,2010.0,VIACOM INC.,2010-03-31,21606000000.0,0.4,,245000000.0,8876000000.0,607600000.0,VIA,CONSUMER SERVICES,36.68,2010-06-30,35.66
0001193125-10-101913,1276520,US,2010-04-30,10-Q,2010.0,GENWORTH FINANCIAL INC,2010-03-31,109093000000.0,0.36,95068000000.0,178000000.0,12891000000.0,488800000.0,GNW,FINANCE,18.34,2010-06-30,13.07
0001193125-10-102602,1403161,US,2010-05-03,10-Q,2010.0,VISA INC.,2010-03-31,32068000000.0,,8081000000.0,713000000.0,23983000000.0,,V,MISCELLANEOUS,22.757,2010-06-30,17.688
0001193125-10-104379,1070750,US,2010-05-03,10-Q,2010.0,"HOST HOTELS & RESORTS, INC.",2010-03-31,12060000000.0,,5741000000.0,-84000000.0,6135000000.0,,HST,CONSUMER SERVICES,14.65,2010-06-30,13.48
0001193125-10-108084,5513,US,2010-05-05,10-Q,2010.0,UNUM GROUP,2010-03-31,54997200000.0,0.69,46217000000.0,229800000.0,8780200000.0,,UNM,FINANCE,24.77,2010-06-30,21.7
0001193125-10-110115,906107,US,2010-05-06,10-Q,2010.0,EQUITY RESIDENTIAL,2010-03-31,15518413000.0,0.18,10075387000.0,55483000.0,5021928000.0,280645000.0,EQR,CONSUMER SERVICES,39.15,2010-06-30,41.64
0001193125-10-112622,62709,US,2010-05-07,10-Q,2010.0,"MARSH & MCLENNAN COMPANIES, INC.",2010-03-31,14962000000.0,0.46,,248000000.0,,533000000.0,MMC,FINANCE,24.42,2010-06-30,22.55
0001193125-10-112846,35527,US,2010-05-07,10-Q,2010.0,FIFTH THIRD BANCORP,2010-03-31,112651000000.0,-0.09,99243000000.0,-10000000.0,13408000000.0,,FITB,FINANCE,13.56,2010-06-30,12.29
0001193125-10-112933,1156375,US,2010-05-07,10-Q,2010.0,CME GROUP INC.,2010-03-31,35202400000.0,3.63,15945400000.0,240200000.0,19189700000.0,66234000.0,CME,FINANCE,63.222,2010-06-30,56.31
0001193125-10-114443,1378946,US,2010-05-10,10-Q,2010.0,"PEOPLE'S UNITED FINANCIAL, INC.",2010-03-31,21588100000.0,0.04,16109500000.0,13600000.0,5478600000.0,,PBCT,FINANCE,15.62,2010-06-30,13.5
0001274494-10-000012,1274494,US,2010-04-29,10-Q,2010.0,"FIRST SOLAR, INC.",2010-03-31,3473514000.0,2.04,626659000.0,172345000.0,2846855000.0,84505000.0,FSLR,TECHNOLOGY,122.65,2010-06-30,113.83
0001393311-10-000011,1393311,US,2010-05-10,10-Q,2010.0,PUBLIC STORAGE,2010-03-31,9744471000.0,0.21,922914000.0,123961000.0,8676023000.0,168477000.0,PSA,CONSUMER SERVICES,91.99,2010-06-30,87.91
0001437749-10-001467,353944,US,2010-05-13,10-Q,2010.0,INTERNATIONAL GAME TECHNOLOGY,2010-03-31,4163200000.0,0.0,3024300000.0,,1139400000.0,295900000.0,IGT,CONSUMER SERVICES,18.45,2010-06-30,15.7
0000073887-10-000079,73887,US,2010-08-04,10-Q,2010.0,BRISTOW GROUP INC,2010-06-30,2504565000.0,0.58,,20808000.0,1363416000.0,,BRS,TRANSPORTATION,29.4,2010-09-30,36.08
0000732717-10-000074,732717,US,2010-08-06,10-Q,2010.0,AT&T INC.,2010-06-30,267556000000.0,0.68,,4023000000.0,,,T,PUBLIC UTILITIES,24.19,2010-09-30,28.6
0000950123-10-066692,1057058,US,2010-07-21,10-Q,2010.0,"WASTE CONNECTIONS, INC.",2010-06-30,2790928000.0,0.39,1438224000.0,30400000.0,1348996000.0,77495800.0,WCN,PUBLIC UTILITIES,15.507,2010-09-30,17.627
0000950123-10-067722,48898,US,2010-07-23,10-Q,2010.0,HUBBELL INC,2010-06-30,2559100000.0,0.96,1194500000.0,57600000.0,1360600000.0,,HUBB,CAPITAL GOODS,39.69,2010-09-30,50.75
0000950123-10-069106,1359841,US,2010-07-28,10-Q,2010.0,HANESBRANDS INC.,2010-06-30,3613721000.0,0.89,3151438000.0,85412000.0,462283000.0,96420000.0,HBI,CONSUMER SERVICES,6.015,2010-09-30,6.465
0000950123-10-069663,1289848,US,2010-07-29,10-Q,2010.0,HURON CONSULTING GROUP INC.,2010-06-30,728603000.0,0.12,,2375000.0,338929000.0,20534000.0,HURN,CONSUMER SERVICES,19.41,2010-09-30,21.99
0000950123-10-070245,1405495,US,2010-07-30,10-Q,2010.0,"INTERDIGITAL, INC.",2010-06-30,944724000.0,0.79,679214000.0,34963000.0,265510000.0,43971000.0,IDCC,MISCELLANEOUS,24.69,2010-09-30,29.61
