adsh,cik,name,ticker,sector,period,stock_price,next_period,next_period_price,beta,assets,earnings_per_share_basic,liabilities,net_income_loss,stockholders_equity,weighted_shares_outstanding_basic
0001193125-09-170759,712515,ELECTRONIC ARTS INC.,EA,TECHNOLOGY,2009-06-30,21.72,2009-09-30,19.05,0.9424352266879382,4722000000.0,,1721000000.0,-234000000.0,3001000000.0,
0001274494-09-000019,1274494,"FIRST SOLAR, INC.",FSLR,TECHNOLOGY,2009-06-30,162.2,2009-09-30,152.86,0.6301056098553652,2910179000.0,2.16,625288000.0,180579000.0,2284891000.0,83723000.0
0000732717-09-000091,732717,AT&T INC.,T,PUBLIC UTILITIES,2009-09-30,27.01,2009-12-31,28.03,0.6791157127084988,266568000000.0,0.54,,3192000000.0,,
0000899689-09-000040,899689,VORNADO REALTY TRUST,VNO,CONSUMER SERVICES,2009-09-30,47.123000000000005,2009-12-31,51.169,2.251531183764406,22350373000.0,0.7,14169700000.0,140617000.0,6561762000.0,
0000950123-09-054928,54480,KANSAS CITY SOUTHERN,KSU,TRANSPORTATION,2009-09-30,26.49,2009-12-31,33.29,1.891522418943561,5406300000.0,0.27,3102200000.0,28600000.0,2020000000.0,94683000.0
0000950123-09-056216,1013871,"NRG ENERGY, INC.",NRG,PUBLIC UTILITIES,2009-09-30,28.19,2009-12-31,23.61,1.116442117772727,25954000000.0,1.09,17875000000.0,278000000.0,,249000000.0
0000950123-09-056991,1163165,CONOCOPHILLIPS,COP,ENERGY,2009-09-30,34.426,2009-12-31,38.931999999999995,1.0580936611573075,152427000000.0,1.0,90330000000.0,1503000000.0,61510000000.0,1488352000.0
0000950123-09-057624,200406,JOHNSON & JOHNSON,JNJ,HEALTH CARE,2009-09-30,60.89,2009-12-31,64.41,0.4051235734403893,91558000000.0,1.21,41174000000.0,,,2756300000.0
0000950123-09-060099,19617,J P MORGAN CHASE & CO,JPM,FINANCE,2009-09-30,43.82,2009-12-31,41.67,1.6473182435030411,2041009000000.0,0.82,1878756000000.0,3588000000.0,162253000000.0,3937900000.0
0001014739-09-000045,1014739,"BIOSCRIP, INC.",BIOS,HEALTH CARE,2009-09-30,6.76,2009-12-31,8.36,0.970450779714314,240180000.0,0.15,127479000.0,5747000.0,112701000.0,38961000.0
0001047469-09-009429,1324404,"CF INDUSTRIES HOLDINGS, INC.",CF,BASIC INDUSTRIES,2009-09-30,17.246,2009-12-31,18.156,0.9114178056867096,2357100000.0,0.79,,38500000.0,1658900000.0,48500000.0
0001047469-09-009674,827052,EDISON INTERNATIONAL,EIX,PUBLIC UTILITIES,2009-09-30,33.58,2009-12-31,34.78,0.9221276779086252,42772000000.0,1.23,31767000000.0,403000000.0,,326000000.0
0001104659-09-062019,765880,"HCP, INC.",HCP,CONSUMER SERVICES,2009-09-30,26.175,2009-12-31,27.814,1.963596557959536,12338210000.0,-0.18,6288733000.0,,5869804000.0,284812000.0
0001104659-09-062141,1168054,CIMAREX ENERGY CO,XEC,ENERGY,2009-09-30,43.32,2009-12-31,52.97,1.6885880086453258,3396162000.0,,,,,
0001104659-09-062402,1126328,PRINCIPAL FINANCIAL GROUP INC,PFG,FINANCE,2009-09-30,27.39,2009-12-31,24.04,3.0943388946720267,137379500000.0,0.58,129772800000.0,192900000.0,7508700000.0,
0001104659-09-063192,1800,ABBOTT LABORATORIES,ABT,HEALTH CARE,2009-09-30,23.736,2009-12-31,25.904,0.06778718929250006,49846820000.0,0.95,,,21335055000.0,1546291000.0
0001140361-09-024015,1357615,"KBR, INC.",KBR,BASIC INDUSTRIES,2009-09-30,23.29,2009-12-31,19.0,1.4799245804323198,5578000000.0,0.46,3303000000.0,,2259000000.0,160000000.0
0001157523-09-007722,1043219,ANNALY CAPITAL MANAGEMENT INC,NLY,CONSUMER SERVICES,2009-09-30,18.14,2009-12-31,17.35,0.6996593018291082,70162678000.0,0.51,60792420000.0,285189000.0,9307144000.0,547611480.0
0001193125-09-214821,896262,AMEDISYS INC,AMED,HEALTH CARE,2009-09-30,43.63,2009-12-31,48.6,1.0644558656391534,1130940000.0,1.31,444792000.0,35940000.0,685135000.0,27340000.0
0001193125-09-220398,1276520,GENWORTH FINANCIAL INC,GNW,FINANCE,2009-09-30,11.95,2009-12-31,11.35,3.4973931804507816,108832000000.0,0.04,95387000000.0,19000000.0,12417000000.0,448900000.0
0001193125-09-221448,1339947,VIACOM INC.,VIA,CONSUMER SERVICES,2009-09-30,29.45,2009-12-31,31.5,1.4658810512870746,21307000000.0,0.76,,463000000.0,8029000000.0,607300000.0
0001193125-09-223170,5513,UNUM GROUP,UNM,FINANCE,2009-09-30,21.44,2009-12-31,19.52,1.819071919440932,54475200000.0,0.67,46232200000.0,221100000.0,8243000000.0,
0001193125-09-224917,906107,EQUITY RESIDENTIAL,EQR,CONSUMER SERVICES,2009-09-30,30.7,2009-12-31,33.78,2.0488239744669583,15791396000.0,0.48,10464788000.0,135981000.0,4959651000.0,273658000.0
0001193125-09-225519,62709,"MARSH & MCLENNAN COMPANIES, INC.",MMC,FINANCE,2009-09-30,24.73,2009-12-31,22.08,0.7254731257696704,15341000000.0,0.41,,221000000.0,,524000000.0
0001193125-09-227674,1156375,CME GROUP INC.,CME,FINANCE,2009-09-30,61.638000000000005,2009-12-31,67.192,1.340044322737982,36519600000.0,3.05,17389300000.0,202300000.0,19130300000.0,66384000.0
0001193125-09-227731,35527,FIFTH THIRD BANCORP,FITB,FINANCE,2009-09-30,10.13,2009-12-31,9.75,2.3146236986251543,110740000000.0,-0.2,97052000000.0,-97000000.0,13688000000.0,
0001193125-09-229024,1378946,"PEOPLE'S UNITED FINANCIAL, INC.",PBCT,FINANCE,2009-09-30,15.56,2009-12-31,16.7,0.7096815176963741,20810100000.0,0.08,15694900000.0,26800000.0,5115200000.0,
0001193125-09-230789,712515,ELECTRONIC ARTS INC.,EA,TECHNOLOGY,2009-09-30,19.05,2009-12-31,17.75,0.8855243885329002,5002000000.0,,2346000000.0,-391000000.0,2656000000.0,
0001193125-09-239249,1403161,VISA INC.,V,MISCELLANEOUS,2009-09-30,17.278,2009-12-31,21.865,0.8599850465038098,32281000000.0,,9088000000.0,,23189000000.0,
0001274494-09-000032,1274494,"FIRST SOLAR, INC.",FSLR,TECHNOLOGY,2009-09-30,152.86,2009-12-31,135.4,1.055569283132513,3095072000.0,1.82,635898000.0,153344000.0,2459174000.0,84179000.0
0001393311-09-000035,1393311,PUBLIC STORAGE,PSA,CONSUMER SERVICES,2009-09-30,75.24,2009-12-31,81.45,1.7114135373268906,9809375000.0,1.03,758123000.0,237309000.0,8904106000.0,168373000.0
0001437749-09-001934,353944,INTERNATIONAL GAME TECHNOLOGY,IGT,CONSUMER SERVICES,2009-09-30,21.48,2009-12-31,18.77,1.9971199255086372,4388200000.0,,3420900000.0,,,
0000732717-10-000013,732717,AT&T INC.,T,PUBLIC UTILITIES,2009-12-31,28.03,2010-03-31,25.84,0.4845105918692947,268752000000.0,,,,,
0000899689-10-000004,899689,VORNADO REALTY TRUST,VNO,CONSUMER SERVICES,2009-12-31,51.169,2010-03-31,55.383,1.7587533647982383,20185472000.0,,12284438000.0,,6242769000.0,
0000950123-10-011711,54480,KANSAS CITY SOUTHERN,KSU,TRANSPORTATION,2009-12-31,33.29,2010-03-31,36.17,1.5877001069413117,5479100000.0,,3137500000.0,,2058800000.0,
0000950123-10-015824,1013871,"NRG ENERGY, INC.",NRG,PUBLIC UTILITIES,2009-12-31,23.61,2010-03-31,20.9,1.2674395144478667,23378000000.0,,15434000000.0,,,
0000950123-10-016029,19617,J P MORGAN CHASE & CO,JPM,FINANCE,2009-12-31,41.67,2010-03-31,44.75,1.5459319962004925,2031989000000.0,,1866624000000.0,,165365000000.0,
0000950123-10-017187,1163165,CONOCOPHILLIPS,COP,ENERGY,2009-12-31,38.931999999999995,2010-03-31,39.008,0.9884080961838068,152588000000.0,,89531000000.0,,62467000000.0,
0000950123-10-019392,200406,JOHNSON & JOHNSON,JNJ,HEALTH CARE,2009-12-31,64.41,2010-03-31,65.2,0.394842964815626,94682000000.0,,44094000000.0,,,
0001014739-10-000004,1014739,"BIOSCRIP, INC.",BIOS,HEALTH CARE,2009-12-31,8.36,2010-03-31,7.99,1.1757185722262486,287220000.0,,131427000.0,,155793000.0,
0001047469-10-000766,765880,"HCP, INC.",HCP,CONSUMER SERVICES,2009-12-31,27.814,2010-03-31,30.055,1.3820632201507457,12209735000.0,,6251126000.0,,5780537000.0,
0001047469-10-000948,1126328,PRINCIPAL FINANCIAL GROUP INC,PFG,FINANCE,2009-12-31,24.04,2010-03-31,29.21,2.571786228836744,137759400000.0,,129743000000.0,,7893500000.0,
0001047469-10-001018,1800,ABBOTT LABORATORIES,ABT,HEALTH CARE,2009-12-31,25.904,2010-03-31,25.276,0.4577210520086537,52416623000.0,,,,22855627000.0,
0001047469-10-001364,1324404,"CF INDUSTRIES HOLDINGS, INC.",CF,BASIC INDUSTRIES,2009-12-31,18.156,2010-03-31,18.236,1.1142856373433252,2494900000.0,,,,1728900000.0,
0001047469-10-001512,1168054,CIMAREX ENERGY CO,XEC,ENERGY,2009-12-31,52.97,2010-03-31,59.38,1.8973953989938104,3444537000.0,,1406431000.0,,,
0001047469-10-001604,827052,EDISON INTERNATIONAL,EIX,PUBLIC UTILITIES,2009-12-31,34.78,2010-03-31,34.17,0.7460404283499804,41444000000.0,,30438000000.0,,,
0001140361-10-008295,1357615,"KBR, INC.",KBR,BASIC INDUSTRIES,2009-12-31,19.0,2010-03-31,22.16,1.2962007380202611,5327000000.0,,3031000000.0,,2288000000.0,
0001157523-10-001176,1043219,ANNALY CAPITAL MANAGEMENT INC,NLY,CONSUMER SERVICES,2009-12-31,17.35,2010-03-31,17.18,0.8678507845392212,69376190000.0,,59758650000.0,,9554426000.0,
0001193125-10-020834,1403161,VISA INC.,V,MISCELLANEOUS,2009-12-31,21.865,2010-03-31,22.756999999999998,0.5181105844222075,31715000000.0,,8238000000.0,763000000.0,23472000000.0,
0001193125-10-025856,712515,ELECTRONIC ARTS INC.,EA,TECHNOLOGY,2009-12-31,17.75,2010-03-31,18.66,1.0157639402349432,4939000000.0,,2340000000.0,-82000000.0,2599000000.0,
0001193125-10-028165,1339947,VIACOM INC.,VIA,CONSUMER SERVICES,2009-12-31,31.5,2010-03-31,36.68,0.9682022627689804,21900000000.0,,,,8704000000.0,
0001193125-10-037640,896262,AMEDISYS INC,AMED,HEALTH CARE,2009-12-31,48.6,2010-03-31,55.22,0.9759451454726218,1172351000.0,,436016000.0,,735166000.0,
0001193125-10-040142,906107,EQUITY RESIDENTIAL,EQR,CONSUMER SERVICES,2009-12-31,33.78,2010-03-31,39.15,1.5108690050343008,15417515000.0,,9984722000.0,,5047339000.0,
0001193125-10-041949,1276520,GENWORTH FINANCIAL INC,GNW,FINANCE,2009-12-31,11.35,2010-03-31,18.34,2.6617408464126604,108187000000.0,,94837000000.0,,12276000000.0,
0001193125-10-042347,35527,FIFTH THIRD BANCORP,FITB,FINANCE,2009-12-31,9.75,2010-03-31,13.56,2.083913284699446,113380000000.0,,99883000000.0,,13497000000.0,
0001193125-10-042716,5513,UNUM GROUP,UNM,FINANCE,2009-12-31,19.52,2010-03-31,24.77,1.9439935998838516,54477000000.0,,45976900000.0,,8500100000.0,
0001193125-10-042765,62709,"MARSH & MCLENNAN COMPANIES, INC.",MMC,FINANCE,2009-12-31,22.08,2010-03-31,24.42,1.163118033016709,15337000000.0,,,,,
0001193125-10-043180,1156375,CME GROUP INC.,CME,FINANCE,2009-12-31,67.192,2010-03-31,63.222,0.7601955574284246,35651000000.0,,16350000000.0,,19301000000.0,
0001193125-10-044002,1070750,"HOST HOTELS & RESORTS, INC.",HST,CONSUMER SERVICES,2009-12-31,11.67,2010-03-31,14.65,2.428041303576499,12555000000.0,,6205000000.0,,6189000000.0,
0001193125-10-044584,1378946,"PEOPLE'S UNITED FINANCIAL, INC.",PBCT,FINANCE,2009-12-31,16.7,2010-03-31,15.62,0.5004060298901285,21257200000.0,,16156500000.0,,5100700000.0,
0001274494-10-000007,1274494,"FIRST SOLAR, INC.",FSLR,TECHNOLOGY,2009-12-31,135.4,2010-03-31,122.65,0.06391008698615054,3349512000.0,,696725000.0,,2652787000.0,
0001393311-10-000004,1393311,PUBLIC STORAGE,PSA,CONSUMER SERVICES,2009-12-31,81.45,2010-03-31,91.99,1.2935247376742025,9805645000.0,,731142000.0,,8928407000.0,
0001437749-10-000316,353944,INTERNATIONAL GAME TECHNOLOGY,IGT,CONSUMER SERVICES,2009-12-31,18.77,2010-03-31,18.45,1.2955313916529312,4273800000.0,0.25,3138400000.0,,1135600000.0,295100000.0
0000732717-10-000033,732717,AT&T INC.,T,PUBLIC UTILITIES,2010-03-31,25.84,2010-06-30,24.19,0.5735317982520446,265701000000.0,0.42,,2475000000.0,,
0000899689-10-000020,899689,VORNADO REALTY TRUST,VNO,CONSUMER SERVICES,2010-03-31,55.383,2010-06-30,53.371,1.3030744685176523,20419693000.0,1.1,12455566000.0,214552000.0,6217588000.0,181542000.0
0000950123-10-038647,54480,KANSAS CITY SOUTHERN,KSU,TRANSPORTATION,2010-03-31,36.17,2010-06-30,36.35,1.1941203536064329,5549100000.0,0.34,3185400000.0,35300000.0,2082000000.0,95890000.0
0000950123-10-043643,1163165,CONOCOPHILLIPS,COP,ENERGY,2010-03-31,39.008,2010-06-30,37.422,1.2293529830130812,154810000000.0,1.41,91393000000.0,2098000000.0,62837000000.0,1492861000.0
0000950123-10-046942,1013871,"NRG ENERGY, INC.",NRG,PUBLIC UTILITIES,2010-03-31,20.9,2010-06-30,21.21,0.9205680181443052,24578000000.0,0.22,16310000000.0,58000000.0,,254000000.0
0000950123-10-047138,19617,J P MORGAN CHASE & CO,JPM,FINANCE,2010-03-31,44.75,2010-06-30,36.61,1.4938929358361182,2135796000000.0,0.75,1971075000000.0,3326000000.0,164721000000.0,3970500000.0
0000950123-10-047299,200406,JOHNSON & JOHNSON,JNJ,HEALTH CARE,2010-03-31,65.2,2010-06-30,59.06,0.5427653334391049,93441000000.0,1.64,40527000000.0,,,2755400000.0
0000950130-10-001579,712515,ELECTRONIC ARTS INC.,EA,TECHNOLOGY,2010-03-31,18.66,2010-06-30,14.4,0.8011199668618358,4646000000.0,,1917000000.0,,2729000000.0,
0001014739-10-000011,1014739,"BIOSCRIP, INC.",BIOS,HEALTH CARE,2010-03-31,7.99,2010-06-30,5.24,1.4695724235147898,714563000.0,-0.18,458275000.0,-7169000.0,256288000.0,40825.0
0001047469-10-004925,827052,EDISON INTERNATIONAL,EIX,PUBLIC UTILITIES,2010-03-31,34.17,2010-06-30,31.72,1.025335129905338,42357000000.0,0.72,31374000000.0,236000000.0,,326000000.0
0001047469-10-004975,1324404,"CF INDUSTRIES HOLDINGS, INC.",CF,BASIC INDUSTRIES,2010-03-31,18.236,2010-06-30,12.69,1.0015155644000906,2633100000.0,-0.09,,-4400000.0,1711200000.0,48600000.0
0001104659-10-021966,765880,"HCP, INC.",HCP,CONSUMER SERVICES,2010-03-31,30.055,2010-06-30,29.372,1.530782439098996,12139570000.0,0.26,6231399000.0,81036000.0,5724554000.0,293223000.0
0001104659-10-025536,1126328,PRINCIPAL FINANCIAL GROUP INC,PFG,FINANCE,2010-03-31,29.21,2010-06-30,23.44,1.5484318485373645,140836700000.0,0.6,132148500000.0,199000000.0,8555600000.0,
0001104659-10-026823,1168054,CIMAREX ENERGY CO,XEC,ENERGY,2010-03-31,59.38,2010-06-30,71.58,1.4618656798075655,3708120000.0,,,,,
0001104659-10-033097,1800,ABBOTT LABORATORIES,ABT,HEALTH CARE,2010-03-31,25.276,2010-06-30,22.445,0.5750313880672471,53358622000.0,0.65,,,20860099000.0,1547815000.0
0001140361-10-017892,1357615,"KBR, INC.",KBR,BASIC INDUSTRIES,2010-03-31,22.16,2010-06-30,20.34,1.280689721164061,5589000000.0,,3235000000.0,,2347000000.0,160000000.0
0001157523-10-002896,1043219,ANNALY CAPITAL MANAGEMENT INC,NLY,CONSUMER SERVICES,2010-03-31,17.18,2010-06-30,17.15,0.3338142672956257,72719162000.0,0.5,63074678000.0,281065000.0,9581386000.0,554995092.0
0001193125-10-094994,896262,AMEDISYS INC,AMED,HEALTH CARE,2010-03-31,55.22,2010-06-30,43.98,1.4854755334501317,1222445000.0,1.32,438030000.0,36646000.0,783062000.0,27821000.0
0001193125-10-098207,1339947,VIACOM INC.,VIA,CONSUMER SERVICES,2010-03-31,36.68,2010-06-30,35.66,0.9467161214172521,21606000000.0,0.4,,245000000.0,8876000000.0,607600000.0
0001193125-10-101913,1276520,GENWORTH FINANCIAL INC,GNW,FINANCE,2010-03-31,18.34,2010-06-30,13.07,1.794711602896362,109093000000.0,0.36,95068000000.0,178000000.0,12891000000.0,488800000.0
0001193125-10-102602,1403161,VISA INC.,V,MISCELLANEOUS,2010-03-31,22.756999999999998,2010-06-30,17.688,0.8018026951902251,32068000000.0,,8081000000.0,713000000.0,23983000000.0,
0001193125-10-104379,1070750,"HOST HOTELS & RESORTS, INC.",HST,CONSUMER SERVICES,2010-03-31,14.65,2010-06-30,13.48,1.965322679621128,12060000000.0,,5741000000.0,-84000000.0,6135000000.0,
0001193125-10-108084,5513,UNUM GROUP,UNM,FINANCE,2010-03-31,24.77,2010-06-30,21.7,1.6003093226899887,54997200000.0,0.69,46217000000.0,229800000.0,8780200000.0,
0001193125-10-110115,906107,EQUITY RESIDENTIAL,EQR,CONSUMER SERVICES,2010-03-31,39.15,2010-06-30,41.64,1.0412791788543232,15518413000.0,0.18,10075387000.0,55483000.0,5021928000.0,280645000.0
0001193125-10-112622,62709,"MARSH & MCLENNAN COMPANIES, INC.",MMC,FINANCE,2010-03-31,24.42,2010-06-30,22.55,0.5358137256914983,14962000000.0,0.46,,248000000.0,,533000000.0
0001193125-10-112846,35527,FIFTH THIRD BANCORP,FITB,FINANCE,2010-03-31,13.56,2010-06-30,12.29,1.0759512752982958,112651000000.0,-0.09,99243000000.0,-10000000.0,13408000000.0,
0001193125-10-112933,1156375,CME GROUP INC.,CME,FINANCE,2010-03-31,63.222,2010-06-30,56.31,1.4857411991843,35202400000.0,3.63,15945400000.0,240200000.0,19189700000.0,66234000.0
0001193125-10-114443,1378946,"PEOPLE'S UNITED FINANCIAL, INC.",PBCT,FINANCE,2010-03-31,15.62,2010-06-30,13.5,0.5376288890134,21588100000.0,0.04,16109500000.0,13600000.0,5478600000.0,
0001274494-10-000012,1274494,"FIRST SOLAR, INC.",FSLR,TECHNOLOGY,2010-03-31,122.65,2010-06-30,113.83,1.5286036713054916,3473514000.0,2.04,626659000.0,172345000.0,2846855000.0,84505000.0
0001393311-10-000011,1393311,PUBLIC STORAGE,PSA,CONSUMER SERVICES,2010-03-31,91.99,2010-06-30,87.91,1.1125497482110325,9744471000.0,0.21,922914000.0,123961000.0,8676023000.0,168477000.0
0001437749-10-001467,353944,INTERNATIONAL GAME TECHNOLOGY,IGT,CONSUMER SERVICES,2010-03-31,18.45,2010-06-30,15.7,0.7917203713751872,4163200000.0,0.0,3024300000.0,,1139400000.0,295900000.0
0000073887-10-000079,73887,BRISTOW GROUP INC,BRS,TRANSPORTATION,2010-06-30,29.4,2010-09-30,36.08,1.5219225040506654,2504565000.0,0.58,,20808000.0,1363416000.0,
0000732717-10-000074,732717,AT&T INC.,T,PUBLIC UTILITIES,2010-06-30,24.19,2010-09-30,28.6,0.6125002031666718,267556000000.0,0.68,,4023000000.0,,
0000950123-10-066692,1057058,"WASTE CONNECTIONS, INC.",WCN,PUBLIC UTILITIES,2010-06-30,15.507,2010-09-30,17.627,0.5920370992913326,2790928000.0,0.39,1438224000.0,30400000.0,1348996000.0,77495800.0
0000950123-10-067722,48898,HUBBELL INC,HUBB,CAPITAL GOODS,2010-06-30,39.69,2010-09-30,50.75,1.1620916947769429,2559100000.0,0.96,1194500000.0,57600000.0,1360600000.0,
0000950123-10-069106,1359841,HANESBRANDS INC.,HBI,CONSUMER SERVICES,2010-06-30,6.015,2010-09-30,6.465,1.190036084852371,3613721000.0,0.89,3151438000.0,85412000.0,462283000.0,96420000.0
0000950123-10-069663,1289848,HURON CONSULTING GROUP INC.,HURN,CONSUMER SERVICES,2010-06-30,19.41,2010-09-30,21.99,0.8741036684761496,728603000.0,0.12,,2375000.0,338929000.0,20534000.0
0000950123-10-070245,1405495,"INTERDIGITAL, INC.",IDCC,MISCELLANEOUS,2010-06-30,24.69,2010-09-30,29.61,0.9820120033156648,944724000.0,0.79,679214000.0,34963000.0,265510000.0,43971000.0
0000950123-10-070376,935036,"ACI WORLDWIDE, INC.",ACIW,TECHNOLOGY,2010-06-30,6.49,2010-09-30,7.462999999999999,0.7933895619523853,552516000.0,0.0,335249000.0,-150000.0,217267000.0,33500000.0
0000950123-10-070416,1019849,"PENSKE AUTOMOTIVE GROUP, INC.",PAG,CONSUMER DURABLES,2010-06-30,11.36,2010-09-30,13.2,1.5207620485981783,3838663000.0,0.32,2876929000.0,29441000.0,958053000.0,92142000.0
0000950123-10-070420,906345,CAMDEN PROPERTY TRUST,CPT,CONSUMER SERVICES,2010-06-30,40.85,2010-09-30,47.97,1.5614523183207514,4594980000.0,0.03,2835477000.0,,1586776000.0,68090000.0
0000950123-10-070485,89089,SERVICE CORPORATION INTERNATIONAL,SCI,CONSUMER SERVICES,2010-06-30,7.4,2010-09-30,8.62,1.1430026994777944,8806027000.0,0.16,,40285000.0,1483608000.0,251763000.0
0000950123-10-070500,311094,WESTAMERICA BANCORPORATION,WABC,FINANCE,2010-06-30,52.52,2010-09-30,54.49,0.7894850235656741,4727086000.0,0.81,4199405000.0,23561000.0,527681000.0,29207000.0
0000950123-10-071644,74208,"UDR, INC.",UDR,CONSUMER SERVICES,2010-06-30,19.13,2010-09-30,21.12,1.4476525650592371,5079369000.0,-0.18,3592507000.0,-26621000.0,1369489000.0,160886000.0
0000950123-10-072372,1230245,PIPER JAFFRAY COMPANIES,PJC,FINANCE,2010-06-30,32.22,2010-09-30,29.13,1.2812056735421151,2003552000.0,0.36,1186527000.0,7378000.0,817025000.0,15901000.0
0000950123-10-072660,1163165,CONOCOPHILLIPS,COP,ENERGY,2010-06-30,37.422,2010-09-30,43.78,1.1782875237513213,151456000000.0,2.79,85511000000.0,4164000000.0,65371000000.0,1489814000.0
0000950123-10-073401,790816,BRANDYWINE REALTY TRUST,BDN,CONSUMER SERVICES,2010-06-30,10.75,2010-09-30,12.25,1.6067797853473866,4617184000.0,-0.06,2696177000.0,-5441000.0,1883222000.0,131510924.0
0000950123-10-073823,921112,LIBERTY PROPERTY TRUST,LPT,CONSUMER SERVICES,2010-06-30,28.85,2010-09-30,31.9,1.4271739835997366,4953092000.0,0.3,2501966000.0,,2093297000.0,112644000.0
0000950123-10-073926,1364885,"SPIRIT AEROSYSTEMS HOLDINGS, INC.",SPR,CAPITAL GOODS,2010-06-30,19.06,2010-09-30,19.93,1.35643631387418,4543000000.0,0.4,,55100000.0,1699300000.0,
